ASK
time (\mus),Amplitude
27.0,5.7931156
27.009998,0.43606693
27.02,15.310412
27.03,19.381912
27.039999,26.941273
27.050001,32.193363
27.06,47.334183
27.07,38.49681
27.08,44.302036
27.09,57.824543
27.099998,53.664017
27.11,63.283455
27.12,66.2734
27.13,71.14379
27.140001,73.90515
27.15,81.74147
27.16,83.311745
27.17,81.52627
27.18,92.51983
27.189999,93.12461
27.199999,92.94621
27.210001,96.0536
27.22,94.725716
27.23,106.77718
27.24,106.116135
27.25,103.567474
27.259998,97.645454
27.27,97.94582
27.28,101.619995
27.289999,97.549774
27.300001,96.2299
27.31,93.66955
27.32,84.86928
27.33,83.48967
27.34,83.86229
27.349998,85.34541
27.36,68.367096
27.37,77.722755
27.38,75.77651
27.390001,61.962204
27.4,62.02246
27.41,60.036907
27.42,46.86559
27.43,41.175144
27.439999,39.31127
27.45,24.803259
27.460001,24.046228
27.47,17.82886
27.48,12.370196
27.49,7.905676
27.5,1.3880543
27.509998,-1.9772447
27.52,-8.959628
27.529999,-23.006506
27.539999,-23.54393
27.550001,-34.73464
27.56,-34.260048
27.57,-41.624004
27.58,-55.738773
27.59,-54.1497
27.599998,-56.403976
27.61,-60.708458
27.619999,-73.617744
27.63,-73.66018
27.640001,-75.567154
27.65,-80.6547
27.66,-86.09324
27.67,-86.57659
27.68,-91.60993
27.689999,-90.45449
27.7,-93.68515
27.710001,-97.68313
27.72,-98.106575
27.730001,-105.96597
27.74,-113.45228
27.75,-98.13935
27.76,-106.837135
27.77,-96.75261
27.779999,-102.082054
27.789999,-99.72869
27.800001,-96.63437
27.81,-87.66307
27.82,-87.42406
27.83,-87.34145
27.84,-87.13307
27.849998,-82.0301
27.86,-74.21872
27.869999,-80.311806
27.88,-65.95797
27.890001,-67.421814
27.9,-55.376232
27.91,-51.15148
27.92,-45.062294
27.93,-39.97158
27.939999,-33.615345
27.95,-37.126434
27.96,-14.820262
27.97,-19.26036
27.980001,-14.774362
27.99,-4.7208014
28.0,1.3003837
28.01,6.6437263
28.02,18.221792
28.029999,23.305489
28.039999,22.718266
28.05,27.689772
28.06,34.761963
28.07,49.638916
28.08,58.516224
28.09,51.541256
28.099998,51.027203
28.11,60.725594
28.119999,70.92616
28.13,69.870926
28.140001,79.42195
28.15,80.322876
28.16,84.52798
28.17,88.490776
28.18,84.418915
28.189999,97.3947
28.2,91.62311
28.21,100.10847
28.22,99.099045
28.230001,94.860664
28.24,99.37958
28.25,92.27459
28.26,101.30827
28.27,105.62777
28.279999,96.88935
28.29,91.51612
28.3,84.69049
28.31,91.30507
28.32,91.88807
28.33,82.241394
28.34,84.094376
28.349998,74.81608
28.36,79.40204
28.369999,63.035183
28.38,70.98315
28.39,58.704796
28.4,53.820324
28.41,49.20901
28.42,45.16046
28.43,37.88708
28.439999,33.88389
28.45,28.301277
28.46,26.319637
28.47,25.42586
28.48,11.999196
28.49,7.514358
28.5,-12.325767
28.51,-3.9937177
28.52,-12.725483
28.529999,-8.597618
28.54,-29.05751
28.55,-25.054764
28.56,-34.965664
28.570002,-43.69621
28.58,-49.585987
28.59,-55.51433
28.6,-67.79246
28.61,-68.85635
28.619999,-70.4255
28.63,-74.54531
28.64,-77.65066
28.65,-81.23101
28.66,-84.267235
28.67,-87.42326
28.68,-85.13303
28.689999,-87.660675
28.7,-91.173164
28.71,-103.56786
28.72,-95.11176
28.73,-102.5691
28.74,-100.779526
28.75,-103.742256
28.76,-98.90381
28.77,-98.15481
28.779999,-91.935295
28.79,-100.250984
28.8,-100.58011
28.81,-91.06865
28.82,-88.394775
28.83,-84.360306
28.84,-79.34308
28.85,-83.45676
28.86,-76.40574
28.869999,-70.26542
28.880001,-71.030396
28.89,-62.84797
28.9,-53.883793
28.91,-53.90078
28.92,-57.30592
28.93,-45.69076
28.939999,-38.195858
28.95,-36.833607
28.96,-31.629923
28.97,-15.792642
28.98,-8.366814
28.99,-8.418641
29.0,-0.62140614
29.01,0.232647
29.02,8.703262
29.029999,20.03328
29.04,21.180319
29.05,35.158844
29.06,27.703032
29.07,46.25996
29.08,48.875015
29.09,52.692474
29.1,60.319084
29.11,68.39161
29.119999,73.01913
29.130001,71.197845
29.14,80.6936
29.15,81.0601
29.16,80.853264
29.17,81.10031
29.18,94.13854
29.19,86.5177
29.2,99.0372
29.21,101.70774
29.22,99.56014
29.23,100.16784
29.24,101.518585
29.249998,96.64073
29.26,94.9794
29.27,102.97043
29.279999,98.572945
29.29,93.48616
29.3,100.434746
29.31,92.44397
29.32,90.66164
29.33,84.77896
29.339998,79.33068
29.35,77.55432
29.36,79.52191
29.369999,77.851204
29.380001,71.53034
29.39,72.99911
29.4,59.99577
29.41,54.144367
29.42,58.274708
29.43,41.272106
29.44,40.93492
29.45,30.114826
29.46,20.623472
29.470001,13.848242
29.48,11.986834
29.49,6.2827997
29.5,-1.5862495
29.51,-6.736361
29.52,-8.402823
29.529999,-17.02724
29.54,-28.207249
29.55,-36.561413
29.56,-34.715603
29.57,-44.698402
29.58,-48.2978
29.589998,-49.69118
29.6,-62.204926
29.61,-64.004425
29.619999,-68.43006
29.630001,-67.42809
29.64,-74.7733
29.65,-79.46094
29.66,-86.198364
29.67,-81.8003
29.679998,-92.76798
29.69,-85.61351
29.7,-102.16847
29.71,-96.57327
29.720001,-95.082275
29.73,-100.75959
29.74,-98.34581
29.75,-101.18483
29.76,-97.60092
29.769999,-95.74633
29.78,-96.45675
29.79,-98.65921
29.8,-94.154854
29.81,-101.194496
29.82,-87.94643
29.83,-87.025314
29.839998,-76.934685
29.85,-74.51837
29.86,-86.45309
29.869999,-75.91171
29.880001,-63.495728
29.89,-58.702225
29.9,-64.00496
29.91,-54.708405
29.92,-51.98664
29.929998,-34.400043
29.94,-39.347744
29.95,-35.38449
29.96,-23.236141
29.970001,-23.473896
29.98,-12.996143
29.99,-8.143535
30.0,0.70447195
30.01,9.204499
30.019999,0.7569531
30.03,14.740817
30.04,5.483129
30.05,16.383186
30.060001,11.364448
30.07,17.734463
30.08,21.686255
