QAM
time (\mus),Amplitude
7.9399996,20.004778
7.95,16.107452
7.9600005,17.425003
7.9700003,23.320816
7.98,24.000895
7.9900002,23.533628
8.0,24.822315
8.01,23.612034
8.0199995,26.430563
8.03,20.75114
8.04,24.905464
8.05,31.947557
8.06,26.950548
8.07,35.815533
8.08,30.875126
8.09,38.746918
8.099999,28.429913
8.11,30.819603
8.12,29.07013
8.129999,39.427128
8.14,30.010784
8.150001,25.075542
8.16,30.21877
8.17,31.899475
8.18,27.15036
8.19,37.069847
8.2,32.635124
8.21,30.97065
8.22,29.777813
8.2300005,25.729069
8.24,24.014788
8.25,22.4522
8.26,26.898113
8.2699995,26.769684
8.28,19.842316
8.29,16.997555
8.299999,17.409483
8.31,12.117398
8.320001,16.75629
8.33,13.305098
8.34,11.473468
8.35,12.322587
8.36,5.8862467
8.37,4.239354
8.379999,0.026147824
8.39,-9.698641
8.400001,-13.004164
8.41,-9.198458
8.42,-12.046525
8.43,-12.251154
8.44,-10.808684
8.45,-20.556545
8.46,-23.996902
8.469999,-23.319574
8.4800005,-22.486855
8.490001,-23.797384
8.5,-16.348375
8.51,-23.257542
8.5199995,-26.581131
8.53,-21.481485
8.54,-25.248957
8.549999,-37.918854
8.559999,-27.702284
8.570001,-27.830025
8.58,-34.75387
8.59,-32.757927
8.6,-28.726152
8.61,-39.29117
8.62,-30.435598
8.63,-33.883965
8.639999,-36.070892
8.650001,-35.65135
8.66,-28.392504
8.67,-27.644184
8.68,-34.847073
8.69,-43.515163
8.7,-27.978598
8.71,-30.313797
8.719999,-27.600342
8.73,-23.852007
8.740001,-28.110954
8.75,-22.340023
8.76,-16.752567
8.77,-28.278925
8.78,-22.355684
8.79,-24.26265
8.799999,-18.30405
8.809999,-9.357631
8.82,-16.41033
8.83,-13.421942
8.84,-10.351658
8.85,-5.691767
8.86,-1.1155779
8.87,0.44703934
8.88,-3.0242639
8.889999,6.461935
8.9,1.8086413
8.910001,13.258022
8.92,7.322715
8.93,4.922877
8.94,17.017056
8.95,22.181934
8.96,10.293288
8.969999,23.893354
8.98,25.482042
8.99,13.997874
9.0,18.976475
9.01,23.68098
9.02,26.260443
9.03,26.467924
9.04,35.893322
9.05,35.671734
9.059999,32.36314
9.07,31.45721
9.08,28.297363
9.09,29.48326
9.1,39.16324
9.11,35.925728
9.12,30.087904
9.13,33.21677
9.139999,32.1369
9.15,30.696466
9.16,39.55031
9.17,36.03867
9.18,39.12947
9.190001,34.63547
9.2,30.4393
9.21,33.701042
9.22,33.948708
9.23,26.128601
9.24,25.953814
9.249999,24.173061
9.26,23.42218
9.27,30.202997
9.28,19.718452
9.29,22.871883
9.3,11.952661
9.309999,5.711162
9.32,7.674951
9.33,6.0854745
9.34,8.821095
9.35,3.2412262
9.360001,4.813352
9.37,1.8935
9.38,-1.9591932
9.389999,0.9667125
9.4,-0.71823114
9.41,-8.784904
9.419999,-12.10636
9.43,-8.467701
9.440001,-17.523256
9.45,-19.338295
9.46,-25.456953
9.47,-19.718033
9.48,-23.35371
9.49,-19.113161
9.5,-26.641014
